تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1401/12/26,16:30,جام حذفی ایران,1401-1402,یک هشتم نهایی,گل گهر سیرجان,0,1,-1,0,0,https://video.varzesh3.com/video/275399/خلاصه-بازی-گل-گهر-1-فولاد-0
1402/01/10,19:30,لیگ برتر ایران,1401-1402,هفته 24,پیکان,2,0,2,3,0,https://video.varzesh3.com/video/276290/خلاصه-بازی-پیکان-0-فولاد-2-گزارش-اختصاصی
1402/01/17,21:30,لیگ برتر ایران,1401-1402,هفته 25,نساجی مازندران,2,0,2,3,1,https://video.varzesh3.com/video/277028/خلاصه-بازی-فولاد-2-نساجی-مازندران-0
1402/01/26,21:30,لیگ برتر ایران,1401-1402,هفته 26,گل گهر سیرجان,2,2,0,1,0,https://video.varzesh3.com/video/297924/خلاصه-بازی-گل-گهر-2-فولاد-2
1402/02/04,19:30,لیگ برتر ایران,1401-1402,هفته 27,نفت مسجدسلیمان,1,0,1,3,1,https://video.varzesh3.com/video/298787/خلاصه-بازی-فولاد-1-نفت-مسجدسلیمان-0
1402/02/15,18:00,لیگ برتر ایران,1401-1402,هفته 28,ذوب آهن,0,2,-2,0,0,https://video.varzesh3.com/video/299816/خلاصه-بازی-ذوب-آهن-2-فولاد-0
1402/02/22,18:00,لیگ برتر ایران,1401-1402,هفته 29,هوادار,0,0,0,1,0,https://video.varzesh3.com/video/300621/خلاصه-بازی-هوادار-0-فولاد-0
1402/02/28,18:00,لیگ برتر ایران,1401-1402,هفته 30,آلومینیوم اراک,2,2,0,1,1,https://video.varzesh3.com/video/301114/خلاصه-بازی-فولاد-2-آلومینیوم-اراک-2
1402/05/18,19:30,لیگ برتر ایران,1402-1403,هفته 1,گل گهر سیرجان,0,3,-3,0,0,https://video.varzesh3.com/video/307277/خلاصه-بازی-گل-گهر-3-فولاد-0
1402/05/25,21:30,لیگ برتر ایران,1402-1403,هفته 2,صنعت نفت آبادان,1,2,-1,0,1,https://video.varzesh3.com/video/308060/خلاصه-بازی-فولاد-1-صنعت-نفت-آبادان-2
1402/06/01,19:30,لیگ برتر ایران,1402-1403,هفته 3,ملوان,0,4,-4,0,0,https://video.varzesh3.com/video/308643/خلاصه-بازی-ملوان-4-فولاد-0
1402/06/08,21:30,لیگ برتر ایران,1402-1403,هفته 4,پرسپولیس,0,2,-2,0,1,https://video.varzesh3.com/video/309562/خلاصه-بازی-فولاد-0-پرسپولیس-2
1402/07/14,17:00,لیگ برتر ایران,1402-1403,هفته 7,هوادار,1,0,1,3,0,https://video.varzesh3.com/video/312850/خلاصه-بازی-هوادار-0-فولاد-1
1402/07/28,19:00,لیگ برتر ایران,1402-1403,هفته 6,استقلال خوزستان,1,0,1,3,1,https://video.varzesh3.com/video/314026/خلاصه-بازی-فولاد-1-استقلال-خوزستان-0
1402/08/05,19:00,لیگ برتر ایران,1402-1403,هفته 8,شمس آذر قزوین,0,1,-1,0,1,https://video.varzesh3.com/video/314799/خلاصه-بازی-فولاد-0-شمس-آذر-قزوین-1
1402/08/12,15:00,لیگ برتر ایران,1402-1403,هفته 9,مس رفسنجان,0,3,-3,0,0,https://video.varzesh3.com/video/315581/خلاصه-بازی-مس-رفسنجان-3-فولاد-خوزستان-0
1402/08/19,16:45,لیگ برتر ایران,1402-1403,هفته 10,آلومینیوم اراک,1,0,1,3,1,https://video.varzesh3.com/video/316241/خلاصه-بازی-فولاد-1-آلومینیوم-0
1402/09/04,15:00,لیگ برتر ایران,1402-1403,هفته 11,تراکتور,0,2,-2,0,0,https://video.varzesh3.com/video/317655/خلاصه-بازی-تراکتور-2-فولاد-0
1402/09/18,17:45,لیگ برتر ایران,1402-1403,هفته 12,استقلال,0,0,0,1,1,https://video.varzesh3.com/video/318991/خلاصه-بازی-فولاد-0-استقلال-0
1402/09/23,15:00,لیگ برتر ایران,1402-1403,هفته 5,سپاهان,1,3,-2,0,0,https://video.varzesh3.com/video/319406/خلاصه-بازی-سپاهان-3-فولاد-1
1402/09/28,16:30,لیگ برتر ایران,1402-1403,هفته 13,ذوب آهن,0,0,0,1,0,https://video.varzesh3.com/video/319876/خلاصه-بازی-ذوب-آهن-0-فولاد-0
1402/10/03,14:00,لیگ برتر ایران,1402-1403,هفته 14,پیکان,0,0,0,1,0,https://video.varzesh3.com/video/320271/خلاصه-بازی-پیکان-0-فولاد-0
1402/10/13,17:45,لیگ برتر ایران,1402-1403,هفته 15,نساجی مازندران,1,0,1,3,1,https://video.varzesh3.com/video/321168/خلاصه-بازی-فولاد-1-نساجی-0
1401/05/28,20:30,لیگ برتر ایران,1401-1402,هفته 2,پرسپولیس,0,0,0,1,0,https://video.varzesh3.com/video/257902/
1401/06/04,21:30,لیگ برتر ایران,1401-1402,هفته 3,تراکتور,3,2,1,3,1,https://video.varzesh3.com/video/258497/
1401/06/09,19:00,لیگ برتر ایران,1401-1402,هفته 4,سپاهان,1,0,1,3,0,https://video.varzesh3.com/video/259003/
1401/06/14,21:00,لیگ برتر ایران,1401-1402,هفته 5,مس رفسنجان,0,0,0,1,1,https://video.varzesh3.com/video/259484/
1401/07/09,19:00,لیگ برتر ایران,1401-1402,هفته 7,مس کرمان,0,0,0,1,1,https://video.varzesh3.com/video/261206/
1401/07/15,17:00,لیگ برتر ایران,1401-1402,هفته 8,استقلال,1,1,0,1,0,https://video.varzesh3.com/video/261639/
1401/07/21,18:30,لیگ برتر ایران,1401-1402,هفته 9,پیکان,1,1,0,1,1,https://video.varzesh3.com/video/262031/
1401/07/28,15:00,لیگ برتر ایران,1401-1402,هفته 10,نساجی مازندران,1,2,-1,0,0,https://video.varzesh3.com/video/262469/
1401/08/05,19:00,لیگ برتر ایران,1401-1402,هفته 11,گل گهر سیرجان,1,2,-1,0,1,https://video.varzesh3.com/video/263048/
1401/08/11,15:30,لیگ برتر ایران,1401-1402,هفته 6,ملوان,1,3,-2,0,0,https://video.varzesh3.com/video/263520/
1401/09/28,17:00,لیگ برتر ایران,1401-1402,هفته 12,نفت مسجدسلیمان,4,1,3,3,0,https://video.varzesh3.com/video/267713/
1401/10/03,17:00,لیگ برتر ایران,1401-1402,هفته 13,ذوب آهن,1,1,0,1,1,https://video.varzesh3.com/video/268122/
1401/10/09,17:00,لیگ برتر ایران,1401-1402,هفته 14,هوادار,0,0,0,1,1,https://video.varzesh3.com/video/268561/
1401/10/14,14:00,لیگ برتر ایران,1401-1402,هفته 15,آلومینیوم اراک,1,0,1,3,0,https://video.varzesh3.com/video/268970/
1401/10/20,17:00,جام حذفی ایران,1401-1402,یک شانزدهم,فردوسی ثامن مشهد,2,0,2,3,1,https://video.varzesh3.com/video/269544/
1401/10/30,17:30,لیگ برتر ایران,1401-1402,هفته 16,صنعت نفت آبادان,0,0,0,1,0,https://video.varzesh3.com/video/270421/
1401/11/07,17:15,لیگ برتر ایران,1401-1402,هفته 17,پرسپولیس,1,0,1,3,1,https://video.varzesh3.com/video/270980/
1401/11/12,14:00,لیگ برتر ایران,1401-1402,هفته 18,تراکتور,0,1,-1,0,0,https://video.varzesh3.com/video/271353/
1401/11/18,18:00,لیگ برتر ایران,1401-1402,هفته 19,سپاهان,0,1,-1,0,1,https://video.varzesh3.com/video/271966/خلاصه-بازی-فولاد-0-سپاهان-1-گزارش-اختصاصی
1401/11/24,17:00,لیگ برتر ایران,1401-1402,هفته 20,مس رفسنجان,0,2,-2,0,0,https://video.varzesh3.com/video/272469/خلاصه-بازی-مس-رفسنجان-2-فولاد-0
1401/12/01,18:30,لیگ نخبگان آسیا,2022,یک هشتم نهایی,الفیصلی عربستان,1,0,1,3,0,https://video.varzesh3.com/video/273083/خلاصه-بازی-الفیصلی-0-فولاد-1-گزارش-اختصاصی
1401/12/04,21:30,لیگ نخبگان آسیا,2022,یک چهارم نهایی,الهلال,0,1,-1,0,1,https://video.varzesh3.com/video/273382/خلاصه-بازی-فولاد-0-الهلال-1-گزارش-اختصاصی
1401/12/10,16:00,لیگ برتر ایران,1401-1402,هفته 21,ملوان,1,0,1,3,1,https://video.varzesh3.com/video/274094/خلاصه-بازی-فولاد-1-ملوان-0
1401/12/15,15:00,لیگ برتر ایران,1401-1402,هفته 22,مس کرمان,1,1,0,1,0,https://video.varzesh3.com/video/274403/خلاصه-بازی-مس-کرمان-1-فولاد-1
1400/10/27,14:30,جام حذفی ایران,1400-1401,1/8 نهایی,مس کرمان,1,1,0,1,0,https://video.varzesh3.com/video/245098/
1400/11/02,18:00,لیگ برتر ایران,1400-1401,هفته 16,پرسپولیس,0,1,-1,0,0,https://video.varzesh3.com/video/245369/
1400/11/18,17:15,سوپرجام ایران,1400,سوپرجام 1400,پرسپولیس,1,0,1,3,1,https://video.varzesh3.com/video/246209/خلاصه-بازی-فولاد-1-پرسپولیس-0-سوپر-جام
1400/11/24,16:00,لیگ برتر ایران,1400-1401,هفته 17,آلومینیوم اراک,1,0,1,3,1,https://video.varzesh3.com/video/246544/
1400/11/29,15:00,لیگ برتر ایران,1400-1401,هفته 18,مس رفسنجان,1,1,0,1,0,https://video.varzesh3.com/video/246799/
1400/12/04,17:30,لیگ برتر ایران,1400-1401,هفته 19,نفت مسجدسلیمان,2,0,2,3,1,https://video.varzesh3.com/video/247106/
1400/12/09,15:00,لیگ برتر ایران,1400-1401,هفته 20,هوادار,0,0,0,1,0,https://video.varzesh3.com/video/247404/
1400/12/15,16:00,لیگ برتر ایران,1400-1401,هفته 21,ذوب آهن,1,2,-1,0,1,https://video.varzesh3.com/video/247764/
1400/12/21,15:00,لیگ برتر ایران,1400-1401,هفته 22,تراکتور,2,1,1,3,0,https://video.varzesh3.com/video/248164/
1400/12/26,17:00,لیگ برتر ایران,1400-1401,هفته 23,فجر سپاسی,1,0,1,3,1,https://video.varzesh3.com/video/248436/
1401/01/12,17:00,لیگ برتر ایران,1400-1401,هفته 24,نساجی مازندران,2,0,2,3,0,https://video.varzesh3.com/video/249182/
1401/01/18,21:45,لیگ نخبگان آسیا,2022,هفته 1,الغرافه,0,0,0,1,1,https://video.varzesh3.com/video/249541/
1401/01/21,21:45,لیگ نخبگان آسیا,2022,هفته 2,شباب الاهلی امارات,1,1,0,1,0,https://video.varzesh3.com/video/249717/
1401/01/25,21:45,لیگ نخبگان آسیا,2022,هفته 3,آخال,1,0,1,3,1,https://video.varzesh3.com/video/249946/
1401/01/29,21:45,لیگ نخبگان آسیا,2022,هفته 4,آخال,1,0,1,3,0,https://video.varzesh3.com/video/250146/
1401/02/03,00:45,لیگ نخبگان آسیا,2022,هفته 5,الغرافه,1,0,1,3,0,https://video.varzesh3.com/video/250426/
1401/02/07,00:45,لیگ نخبگان آسیا,2022,هفته 6,شباب الاهلی امارات,1,1,0,1,1,https://video.varzesh3.com/video/250653/
1401/02/14,20:30,لیگ برتر ایران,1400-1401,هفته 25,گل گهر سیرجان,1,1,0,1,1,https://video.varzesh3.com/video/251167/
1401/02/19,21:00,لیگ برتر ایران,1400-1401,هفته 26,صنعت نفت آبادان,1,0,1,3,0,https://video.varzesh3.com/video/251456/
1401/02/24,19:45,لیگ برتر ایران,1400-1401,هفته 27,استقلال,1,2,-1,0,1,https://video.varzesh3.com/video/251795/
1401/02/29,18:30,لیگ برتر ایران,1400-1401,هفته 28,پیکان,2,1,1,3,0,https://video.varzesh3.com/video/252079/
1401/03/08,20:00,لیگ برتر ایران,1400-1401,هفته 29,سپاهان,3,0,3,3,1,https://video.varzesh3.com/video/252794/
1401/03/12,18:30,لیگ برتر ایران,1400-1401,هفته 30,شهرخودرو مشهد,0,0,0,1,0,
1401/05/22,20:30,لیگ برتر ایران,1401-1402,هفته 1,صنعت نفت آبادان,0,0,0,1,1,https://video.varzesh3.com/video/257368/
1400/04/15,21:10,لیگ برتر ایران,1399-1400,هفته 26,پرسپولیس,0,0,0,1,1,https://video.varzesh3.com/video/235330/
1400/04/19,21:30,لیگ برتر ایران,1399-1400,هفته 27,ماشین سازی تبریز,1,0,1,3,1,https://video.varzesh3.com/video/235520/
1400/04/24,21:30,جام حذفی ایران,1399-1400,1/4 نهایی,سپاهان,1,1,0,1,1,https://video.varzesh3.com/video/235763/
1400/04/29,21:15,لیگ برتر ایران,1399-1400,هفته 28,پیکان,1,1,0,1,0,https://video.varzesh3.com/video/236033/
1400/05/03,21:15,لیگ برتر ایران,1399-1400,هفته 29,صنعت نفت آبادان,2,0,2,3,1,https://video.varzesh3.com/video/236287/
1400/05/08,21:15,لیگ برتر ایران,1399-1400,هفته 30,شهرخودرو مشهد,0,0,0,1,0,https://video.varzesh3.com/video/236513/
1400/05/13,21:00,جام حذفی ایران,1399-1400,نیمه نهایی,ملوان,2,0,2,3,1,https://video.varzesh3.com/video/236809/
1400/05/17,20:30,جام حذفی ایران,1399-1400,فینال,استقلال,0,0,0,1,1,https://video.varzesh3.com/video/236996/خلاصه-بازی-استقلال-0-2-فولاد-0-4
1400/07/30,18:00,لیگ برتر ایران,1400-1401,هفته 1,پرسپولیس,1,3,-2,0,1,https://video.varzesh3.com/video/240381/
1400/08/05,18:00,لیگ برتر ایران,1400-1401,هفته 2,آلومینیوم اراک,0,3,-3,0,0,https://video.varzesh3.com/video/240637/
1400/08/10,18:00,لیگ برتر ایران,1400-1401,هفته 3,مس رفسنجان,2,1,1,3,1,https://video.varzesh3.com/video/240895/
1400/08/15,18:00,لیگ برتر ایران,1400-1401,هفته 4,نفت مسجدسلیمان,0,0,0,1,0,https://video.varzesh3.com/video/241230/
1400/08/28,17:00,لیگ برتر ایران,1400-1401,هفته 5,هوادار,1,0,1,3,1,https://video.varzesh3.com/video/241868/
1400/09/03,17:00,لیگ برتر ایران,1400-1401,هفته 6,ذوب آهن,1,0,1,3,0,https://video.varzesh3.com/video/242131/
1400/09/09,16:00,لیگ برتر ایران,1400-1401,هفته 7,تراکتور,0,0,0,1,1,https://video.varzesh3.com/video/242490/
