تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1403/08/05,16:45,لیگ برتر ایران,1403-1404,هفته 9,خیبر خرم آباد,1,3,-2,0,0,https://video.varzesh3.com/video/356895/خلاصه-بازی-خیبر-خرم-آباد-3-استقلال-1
1403/08/10,17:45,لیگ برتر ایران,1403-1404,هفته 10,تراکتور,0,2,-2,0,1,https://video.varzesh3.com/video/357466/خلاصه-بازی-استقلال-0-تراکتور-2
1403/08/14,21:30,لیگ نخبگان آسیا,2024-2025,هفته 4,الهلال,0,3,-3,0,0,https://video.varzesh3.com/video/357958/خلاصه-بازی-الهلال-3-استقلال-0-گزارش-اختصاصی
1403/08/19,18:30,لیگ برتر ایران,1403-1404,هفته 4,مس رفسنجان,1,0,1,3,1,https://video.varzesh3.com/video/358422/خلاصه-بازی-استقلال-1-مس-رفسنجان-0
1403/09/05,19:30,لیگ نخبگان آسیا,2024-2025,هفته 5,پاختاکور,0,0,0,1,1,https://video.varzesh3.com/video/359852/خلاصه-بازی-استقلال-0-پاختاکور-0-گزارش-اختصاصی
1403/09/12,19:30,لیگ نخبگان آسیا,2024-2025,هفته 6,الاهلی عربستان,2,2,0,1,0,https://video.varzesh3.com/video/360466/خلاصه-بازی-الاهلی-عربستان-2-استقلال-2-گزارش-اختصاصی
1403/09/17,19:00,لیگ برتر ایران,1403-1404,هفته 11,فولاد,2,0,2,3,0,https://video.varzesh3.com/video/360995/خلاصه-بازی-فولاد-0-استقلال-2
1403/09/22,16:15,جام حذفی ایران,,یک شانزدهم نهایی,مس کرمان,1,0,1,3,1,https://video.varzesh3.com/video/361461/خلاصه-بازی-استقلال-1-مس-کرمان-0
1403/09/26,17:30,لیگ برتر ایران,1403-1404,هفته 12,گل گهر سیرجان,0,0,0,1,1,https://video.varzesh3.com/video/361932/خلاصه-بازی-استقلال-0-گل-گهرسیرجان-0
1403/09/30,16:30,لیگ برتر ایران,1403-1404,هفته 13,آلومینیوم اراک,1,1,0,1,0,https://video.varzesh3.com/video/362275/خلاصه-بازی-آلومینیوم-اراک-1-استقلال-1
1403/10/06,17:30,لیگ برتر ایران,1403-1404,هفته 14,چادرملو اردکان,0,0,0,1,0,https://video.varzesh3.com/video/362894/خلاصه-بازی-چادرملو-اردکان-0-استقلال-0
1403/10/13,18:00,لیگ برتر ایران,1403-1404,هفته 15,سپاهان,1,1,0,1,1,https://video.varzesh3.com/video/363734/خلاصه-بازی-استقلال-1-سپاهان-1
1403/11/01,15:30,لیگ برتر ایران,1403-1404,هفته 16,شمس آذر قزوین,0,1,-1,0,1,https://video.varzesh3.com/video/365518/خلاصه-بازی-استقلال-0-شمس-آذر-قزوین-1
