تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1386/07/05,20:00,لیگ برتر ایران,1386-1387,هفته 7,پاس همدان,2,1,1,3,0,
1386/07/13,20:00,لیگ برتر ایران,1386-1387,هفته 8,ذوب آهن,2,1,1,3,1,
1386/07/22,15:30,لیگ برتر ایران,1386-1387,هفته 9,استقلال,1,1,0,1,0,
1386/07/27,17:50,لیگ برتر ایران,1386-1387,هفته 10,استقلال اهواز,3,2,1,3,1,
1386/08/03,15:30,لیگ برتر ایران,1386-1387,هفته 11,ملوان,1,1,0,1,0,
1386/08/11,15:30,لیگ برتر ایران,1386-1387,هفته 12,مس کرمان,1,0,1,3,1,
1386/08/17,14:45,لیگ برتر ایران,1386-1387,هفته 13,شیرین فراز,0,0,0,1,0,
1386/08/25,16:15,لیگ برتر ایران,1386-1387,هفته 14,سایپا,1,0,1,3,1,
1386/09/08,14:15,لیگ برتر ایران,1386-1387,هفته 15,برق شیراز,1,0,1,3,0,
1386/09/16,16:15,لیگ برتر ایران,1386-1387,هفته 16,صبای قم,2,2,0,1,1,
1386/09/26,14:00,جام حذفی ایران,86-87,یک شانزدهم,پتروشیمی تبریز,4,1,3,3,1,
1386/10/03,14:00,جام حذفی ایران,86-87,یک هشتم نهایی,پاس همدان,0,3,-3,0,0,
1386/10/10,15:00,لیگ برتر ایران,1386-1387,هفته 17,سپاهان,1,2,-1,0,0,
1386/11/02,14:45,لیگ برتر ایران,1386-1387,هفته 18,صنعت نفت آبادان,1,0,1,3,1,
1386/11/07,13:45,لیگ برتر ایران,1386-1387,هفته 19,پگاه گیلان,0,1,-1,0,0,
1386/11/21,15:45,لیگ برتر ایران,1386-1387,هفته 20,ابومسلم,3,3,0,1,1,
1386/11/26,15:45,لیگ برتر ایران,1386-1387,هفته 21,پیکان,2,1,1,3,0,
1386/12/01,14:00,لیگ برتر ایران,1386-1387,هفته 22,راه‌آهن,1,2,-1,0,1,
1386/12/12,14:30,لیگ برتر ایران,1386-1387,هفته 23,فجر سپاسی,2,0,2,3,0,
1386/12/19,16:45,لیگ برتر ایران,1386-1387,هفته 24,پاس همدان,1,1,0,1,1,
1387/01/10,14:15,لیگ برتر ایران,1386-1387,هفته 25,ذوب آهن,0,2,-2,0,0,
1387/01/15,15:00,لیگ برتر ایران,1386-1387,هفته 26,استقلال,1,1,0,1,1,
1385/09/10,16:15,لیگ برتر ایران,1385-1386,هفته 11,فولاد,0,0,0,1,1,
1385/09/19,14:15,لیگ برتر ایران,1385-1386,هفته 12,صبای قم,1,0,1,3,1,
1385/09/27,14:15,لیگ برتر ایران,1385-1386,هفته 13,ملوان,0,0,0,1,0,
1385/10/08,14:15,لیگ برتر ایران,1385-1386,هفته 14,راه‌آهن,1,2,-1,0,1,
1385/10/14,14:00,لیگ برتر ایران,1385-1386,هفته 15,ذوب آهن,3,2,1,3,0,
1385/11/05,15:00,لیگ برتر ایران,1385-1386,هفته 16,ابومسلم,3,4,-1,0,1,
1385/11/13,13:30,لیگ برتر ایران,1385-1386,هفته 17,برق شیراز,2,1,1,3,0,
1385/11/20,15:30,لیگ برتر ایران,1385-1386,هفته 18,سپاهان,2,1,1,3,1,
1385/11/28,14:30,لیگ برتر ایران,1385-1386,هفته 19,استقلال اهواز,0,1,-1,0,0,
1385/12/06,15:30,لیگ برتر ایران,1385-1386,هفته 20,پیکان,3,4,-1,0,1,
1385/12/11,16:00,لیگ برتر ایران,1385-1386,هفته 21,سایپا,2,2,0,1,0,
1385/12/28,16:00,لیگ برتر ایران,1385-1386,هفته 22,پاس همدان,1,1,0,1,1,
1386/01/10,16:00,لیگ برتر ایران,1385-1386,هفته 23,استقلال,1,1,0,1,0,
